n_1,rev,time,rev-2n,sqrt(n),log(n),sqrt(n)/rev-2n,log(n)/rev-2n
1,2.25,16.444843,0.25,1,0,4,0
2,4.435393968,522.7563,0.435393968,1.414213562,0.693147181,3.248123924,1.591999964
3,6.575225578,399.6422,0.575225578,1.732050808,1.098612289,3.011080996,1.909880802
4,8.677854768,388.32196,0.677854768,2,1.386294361,2.95048452,2.045120026
5,10.75859624,459.28442,0.758596244,2.236067977,1.609437912,2.947639138,2.121600161
6,12.82417421,4735.6924,0.824174209,2.449489743,1.791759469,2.97205338,2.17400575
7,14.87898319,572.4438,0.878983194,2.645751311,1.945910149,3.010013536,2.213819516
8,16.9259434,336.06052,0.925943398,2.828427125,2.079441542,3.054643653,2.245754487
9,18.9669745,4112.841,0.966974503,3,2.197224577,3.102460294,2.272267336
10,21.00330373,340.12152,1.003303726,3.16227766,2.302585093,3.151864761,2.295003031
11,23.0359896,3356.999,1.035989595,3.31662479,2.397895273,3.201407432,2.314593972
12,25.06571205,285.1885,1.065712055,3.464101615,2.48490665,3.250504299,2.331686724
13,27.09297306,281.0223,1.09297306,3.605551275,2.564949357,3.298847342,2.346763567
14,29.11815397,279.77274,1.118153972,3.741657387,2.63905733,3.346280995,2.360191347
15,31.14154772,303.4079,1.141547722,3.872983346,2.708050201,3.392747646,2.372261929
16,33.16338827,2258.2615,1.163388274,4,2.772588722,3.438233039,2.383201537
17,35.18386664,294.7255,1.183866643,4.123105626,2.833213344,3.482744995,2.393186226
18,37.20313487,377.80307,1.203134872,4.242640687,2.890371758,3.526321767,2.402367204
19,39.22132194,3161.5508,1.22132194,4.358898944,2.944438979,3.569000771,2.410862266
20,41.23854073,294.45273,1.238540732,4.472135955,2.995732274,3.61081056,2.41875959
21,43.25488497,395.0854,1.254884972,4.582575695,3.044522438,3.651789446,2.426136663
22,45.27043333,2371.9133,1.270433335,4.69041576,3.091042453,3.69198102,2.433061514
23,47.2852564,276.27023,1.285256397,4.795831523,3.135494216,3.731420076,2.439586547
24,49.29941726,253.94597,1.299417255,4.898979486,3.17805383,3.770135778,2.445753138
25,51.31297157,324.9898,1.312971567,5,3.218875825,3.80815558,2.451595987
26,53.32595959,3056.4834,1.325959594,5.099019514,3.258096538,3.845531597,2.457161254
27,55.33843065,289.6631,1.338430654,5.196152423,3.295836866,3.882272426,2.462463674
28,57.35042125,3573.659,1.350421254,5.291502622,3.33220451,3.918408872,2.467529669
29,59.36196608,307.13638,1.361966084,5.385164807,3.36729583,3.953963958,2.472378622
30,61.37308619,389.22516,1.373086189,5.477225575,3.401197382,3.988988907,2.477045804
31,63.38381266,2444.8904,1.383812656,5.567764363,3.433987204,4.023495767,2.48154054
32,65.3942056,348.89032,1.394205599,5.656854249,3.465735903,4.057403192,2.485814075
33,67.4041763,373.49887,1.404176305,5.744562647,3.496507561,4.09105511,2.490077315
34,69.41390352,249.29362,1.413903517,5.830951895,3.526360525,4.124009754,2.494060226
35,71.42302515,308.02002,1.423025147,5.916079783,3.555348061,4.157396513,2.498443593
36,73.43133566,2402.6501,1.43133566,6,3.583518938,4.191888854,2.50361885
37,75.42374364,353.75586,1.42374364,6.08276253,3.610917913,4.272372046,2.53621355
38,77.27862472,426.76627,1.278624715,6.164414003,3.63758616,4.821128459,2.844920887
39,79.27774831,3313.9326,1.277748309,6.244997998,3.663561646,4.887502458,2.867201327
40,81.27638201,353.01166,1.27638201,6.32455532,3.688879454,4.955064604,2.890106116
41,83.27456189,3016.2737,1.274561892,6.403124237,3.713572067,5.02378447,2.9136067
42,85.27266591,326.0169,1.272665912,6.480740698,3.737669618,5.092256057,2.936882007
43,87.27378576,334.6227,1.273785757,6.557438524,3.761200116,5.147991716,2.952772941
44,89.26646449,3079.81,1.26646449,6.633249581,3.784189634,5.237611975,2.987995054
45,91.26749625,323.72922,1.267496246,6.708203932,3.80666249,5.292484259,3.00329291
46,93.27332429,397.80966,1.273324292,6.782329983,3.828641396,5.326474979,3.006807786
47,95.25698642,2949.156,1.256986421,6.8556546,3.850147602,5.454040303,3.062998564
48,97.25083507,15397.148,1.250835074,6.92820323,3.871201011,5.538862295,3.094893236
49,99.2482519,311.7483,1.248251899,7,3.891820298,5.607842459,3.117816444
50,101.2391153,307.33163,1.239115341,7.071067812,3.912023005,5.706545289,3.157109654
51,103.239094,409.78928,1.239094039,7.141428429,3.931825633,5.763427312,3.173145466
52,105.2329879,545.6066,1.232987886,7.211102551,3.951243719,5.848478018,3.204608709
53,107.2202666,441.65717,1.220266591,7.280109889,3.970291914,5.965999514,3.253626661
54,109.217955,449.45795,1.217954964,7.348469228,3.988984047,6.033449056,3.275149053
55,111.2067982,449.0377,1.206798162,7.416198487,4.007333185,6.145351164,3.320632491
56,113.1981051,408.4884,1.198105084,7.483314774,4.025351691,6.245958618,3.359765137
57,115.1900184,318.384,1.19001843,7.549834435,4.043051268,6.34430043,3.397469457
58,117.1830566,442.80045,1.183056591,7.615773106,4.060443011,6.437370086,3.432162961
59,119.1728053,313.59137,1.172805324,7.681145748,4.077537444,6.549378305,3.476738516
60,121.1643968,431.68213,1.164396789,7.745966692,4.094344562,6.652342882,3.516279502
61,123.1542952,532.0963,1.154295175,7.810249676,4.110873864,6.766249954,3.561371435
62,125.1461436,346.87823,1.146143609,7.874007874,4.127134385,6.870001114,3.600887665
63,127.1343951,371.7076,1.134395107,7.937253933,4.143134726,6.996904239,3.652285435
64,129.1326194,545.947,1.132619378,8,4.158883083,7.06327311,3.671915881
65,131.1319911,343.32336,1.131991084,8.062257748,4.17438727,7.122191915,3.687650308
66,133.1042044,222.78877,1.104204414,8.124038405,4.189654742,7.357368167,3.794274583
67,135.0993793,394.06287,1.099379274,8.185352772,4.204692619,7.445431221,3.824606047
68,137.0789474,403.89386,1.078947368,8.246211251,4.219507705,7.642829943,3.910763241
69,139.0757347,327.96658,1.075734728,8.306623863,4.234106505,7.721814356,3.936013588
70,141.0546753,349.7383,1.054675319,8.366600265,4.248495242,7.93286817,4.028249421
71,143.0419358,303.55096,1.041935759,8.426149773,4.262679877,8.087014671,4.091115828
72,145.0386085,359.0556,1.038608536,8.485281374,4.276666119,8.169855227,4.117688207
73,147.0157376,375.97632,1.015737552,8.544003745,4.290459441,8.411625357,4.223984271
74,149.0021794,1721.8992,1.002179408,8.602325267,4.304065093,8.583618057,4.294705177
75,150.9907319,433.79483,0.990731891,8.660254038,4.317488114,8.741269074,4.357877397
76,152.9741308,401.8846,0.974130831,8.717797887,4.33073334,8.949309074,4.445740964
77,154.9622241,434.92175,0.962224058,8.774964387,4.343805422,9.119460604,4.514338824
78,156.9449125,359.01306,0.944912507,8.831760866,4.356708827,9.346644058,4.610700775
79,158.9298593,472.3305,0.929859315,8.888194417,4.369447852,9.558644276,4.699041869
80,160.9158331,406.67212,0.915833052,8.94427191,4.382026635,9.766268964,4.784743929
81,162.9009577,2045.796,0.900957746,9,4.394449155,9.989369687,4.877530797
82,164.882977,504.45886,0.882977008,9.055385138,4.406719247,10.25551634,4.990751973
83,166.8668006,348.78986,0.866800608,9.110433579,4.418840608,10.51041439,5.097874376
84,168.8524604,275.2696,0.852460416,9.16515139,4.430816799,10.75140994,5.197680405
85,170.8413607,501.53345,0.841360686,9.219544457,4.442651256,10.95789786,5.280317146
86,172.8163543,426.58264,0.816354345,9.273618495,4.454347296,11.3597956,5.456389525
87,174.8094414,414.83646,0.809441373,9.327379053,4.465908119,11.52322992,5.517271868
88,176.7895461,473.76132,0.789546125,9.38083152,4.477336814,11.88129639,5.670772959
89,178.7634196,449.24344,0.763419626,9.433981132,4.48863637,12.35753027,5.879644981
90,180.7453617,379.37634,0.745361659,9.486832981,4.49980967,12.72782529,6.037082286
91,182.7267522,456.75296,0.726752192,9.539392014,4.510859507,13.12605882,6.206874306
92,184.7144894,512.2703,0.714489356,9.591663047,4.521788577,13.42450097,6.328699709
93,186.6970134,531.7115,0.69701342,9.643650761,4.532599493,13.83567445,6.502886983
94,188.6727515,486.26617,0.67275151,9.695359715,4.543294782,14.41150197,6.753302986
95,190.6538625,418.70245,0.653862519,9.746794345,4.553876892,14.90648885,6.96457858
96,192.6301323,326.55798,0.630132266,9.797958971,4.564348191,15.54905137,7.243476394
97,194.6140135,438.2116,0.61401347,9.848857802,4.574710979,16.04013312,7.450505892
98,196.6163234,513.8313,0.616323411,9.899494937,4.584967479,16.06217574,7.439223302
99,198.6183366,302.31232,0.618336566,9.949874371,4.59511985,16.09135689,7.431421818
100,200.5509736,385.84412,0.550973576,10,4.605170186,18.14969073,8.358241464
